,characteristic_id,characteristic_description,units,dataset_label,dataset_url,theme_label,theme_url,characteristic_type
10,CAT_FSTFZ6190,"Watershed average of mean day of the year of first freeze, derived from 30 years of record (1961-1990), 2km PRISM. For example, value of 300 is the 300th day of the year (Oct 27th).  ",day of year,"Mean Julian year day of the year of first freeze, from 30 years of Record (1961-1990) per NHDPlus version 2 catchment. The values represent the Julian year day of the first freeze. For example, value of 300 is the 300th day of the year (Oct 27th). Values > 365 mean that the first freeze occurs after Dec 31.  It is done this way so that (first_freeze - first_freeze) should always give a positive number; high numbers for an area with a long frost-free period (e.g. Florida), low numbers for an area with a short frost-free period. Values of 0 here indicate there is no freeze.",https://www.sciencebase.gov/catalog/item/5704052ae4b0328dcb827bc7,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
11,CAT_LSTFZ6190,"Watershed average of mean day of the year of last freeze, derived from 30 years of record (1961-1990), 2km PRISM.  For example, value of 100 is the 100th day of the year (April 10th).  ",day of year,"Mean Julian year day of the year of last freeze, from 30 years of Record (1961-1990) per NHDPlus version 2 catchment. The values represent the Julian year day of the last freeze. For example, value of 300 is the 300th day of the year (Oct 27th). Values > 365 mean that the last freeze occurs after Dec 31.  It is done this way so that (first_freeze - last_freeze) should always give a positive number; high numbers for an area with a long frost-free period (e.g. Florida), low numbers for an area with a short frost-free period.",https://www.sciencebase.gov/catalog/item/57040a6ce4b0328dcb828378,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
12,CAT_MAXP6190,Watershed maximum average annual precipitation in mm,mm/year,30 year average (1961-1990) of maximum monthly precipitation in mm per NHDPlus version 2 catchment. -9999 denotes catchment is outside of the source data extent.,https://www.sciencebase.gov/catalog/item/57040af4e4b0328dcb82842b,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
13,CAT_MAXWD6190,"Watershed average of maximum monthly number of days of measurable precipitation, derived from 30 years of record (1961-1990), 2.3km PRISM.  This is simply the maximum value of the values WD_JAN_BASIN thru WD_DEC_BASIN.",days,30 year average (1961-1990) of maximum monthly number of days of measurable precipitation per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/57040b6ce4b0328dcb8284b8,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
14,CAT_MINWD6190,"Watershed average of minimum monthly number of days of measurable precipitation, derived from 30 years of record (1961-1990), 2.3km PRISM. This is simply the minimum value of the values WD_JAN_BASIN thru WD_DEC_BASIN.",days,30 year average (1961-1990) of minimummonthly number of days of measurable precipitation per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/57040be3e4b0328dcb82850a,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
15,CAT_PRSNOW,"Snow percent of total precipitation estimate, mean for period 1901-2000.  From McCabe and Wolock (submitted, 2008), 1km grid.",percent,"Estimated mean annual snow as a percent of total precipitation, 1905-2002 per NHDPlus version 2 catchment.",https://www.sciencebase.gov/catalog/item/57053dc5e4b0d4e2b756c117,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
16,CAT_CWD,Average number of consecutive days with measurable precipitation. It is also sometimes refered to as average storm duration.,days,30-year average number of consecutive days with measurable precipitation per NHDPlus version 2 catchment.,https://www.sciencebase.gov/catalog/item/57053e25e4b0d4e2b756c17d,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
17,CAT_TMAX7100,"Watershed average of maximum monthly air temperature (degrees C) from 800m PRISM, derived from 30 years of record (1971-2000).",degrees C,30 year (1971 - 2000) mean annual maximum temperature (Celsius) from 800m PRISM data per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/57054aebe4b0d4e2b756d1fc,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
18,CAT_TMIN7100,"Watershed average of minimum monthly air temperature (degrees C) from 800m PRISM, derived from 30 years of record (1971-2000).",degrees C,30 year (1971 - 2000) mean annual minimum temperature (Celsius) from 800m PRISM data per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/57054c9be4b0d4e2b756d465,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
19,CAT_CNPY11_BUFF100,NLCD 2011 percent tree canopy in 100 meter riparian buffer,percent,Percent NLCD 2011 Tree Canopy in 100 meter riparian buffer per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/570572e2e4b0d4e2b75718bc,Land Cover,unknown,localCatch_name
20,CAT_IMPV01_BUFF100,NLCD 2001 percent imperviousness in the 100 meter riparian buffer zones,percent,NLCD 2001 percent imperviousness in 100 meter riparian buffer per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/57057499e4b0d4e2b7571a8d,Land Cover,unknown,localCatch_name
21,CAT_IMPV06,NLCD 2006 percent imperviousness per NHDPlus version 2 catchment.,percent,NLCD 2006 percent imperviousness per NHDPlus version 2 catchment.,https://www.sciencebase.gov/catalog/item/570575fae4b0d4e2b7571bba,Land Cover,unknown,localCatch_name
22,CAT_INSECTICIDE,"Insecticide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",kilogram per square kilometer,"Insecticide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/57052c47e4b0d4e2b756ac39,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
23,CAT_N97,"Estimate of nitrogen from fertilizer and manure, from Census of Ag 1997 and AAPFCO",kg/sqkm,Mean rate of nitrogen from fertilizer and manure applied on agricultural land in 1997 per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/57053205e4b0d4e2b756b353,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
24,CAT_NEMATICIDE,"Nematicide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",kilogram per square kilometer,"Nematicide use on agricultural land in kilograms per square kilometer, 2009 per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/570535aae4b0d4e2b756b78c,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
25,CAT_P97,"Estimate of phosphorous from fertilizer and manure, from Census of Ag 1997 and AAPFCO",kg/sqkm,Mean rate of phosphorous from fertilizer and manure applied on agricultural land in 1997 per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/57053749e4b0d4e2b756b969,Chemical,https://www.sciencebase.gov/catalog/item/56fd600fe4b022712b81bf9a,localCatch_name
26,CAT_RH,"Watershed average relative humidity (percent), from 2km PRISM, derived from 30 years of record (1961-1990).",percent,PRISM 30-year average  (1961-1990) relative humidity (percent) per NHDPlus version 2 catchment. -9999 denotes flowline reach has no catchment.,https://www.sciencebase.gov/catalog/item/57054a24e4b0d4e2b756d0e7,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
27,CAT_TAV7100_ANN,"Watershed average of monthly air temperature (degrees C) from 800m PRISM, derived from 30 years of record (1971-2000).",degrees C,30 year (1971 - 2000) mean annual temperature (Celsius) per NHDPlus version 2 catchment. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/57054bf2e4b0d4e2b756d364,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
28,CAT_IMPV06_BUFF100,NLCD 2006 percent imperviousness in the 100 meter riparian buffer zones,percent,NLCD 2006 percent imperviousness in 100 meter riparian buffer per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/5705769fe4b0d4e2b7571c51,Land Cover,unknown,localCatch_name
29,CAT_TILES92,Percent of watershed subjected to tile drains for the year 1992,percent,Estimated percent area of subsurface drainage for the year 1992 per NHDPlus version 2 catchment. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/57067469e4b03f95a075ad3e,Hydrologic Modifications,unknown,localCatch_name
30,CAT_SILTAVE,Average percent of silt in soil per NHDPlus version 2 catchment. -9999 denotes NODATA usually water.,unknown,Average percent of silt in soil per NHDPlus version 2 catchment. -9999 denotes NODATA usually water.,https://www.sciencebase.gov/catalog/item/5728dd46e4b0b13d3918a9a7,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
31,CAT_CLAYAVE,Average value of clay content (percentage),percent,Average percent of silt in soil per NHDPlus version 2 catchment. -9999 denotes NODATA usually water.,https://www.sciencebase.gov/catalog/item/5728dd46e4b0b13d3918a9a7,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
32,CAT_HGD,"Percentage of Hydrologic Group D soil. -9999 denotes NODATA, usually water. Hydrologic group D soils have very slow infiltration rates. Soils are clayey, have a high water table, or have a shallow impervious layer.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
33,CAT_HGCD,"Percentage of Hydrologic Group CD soil. -9999 denotes NODATA, usually water. Hydrologic group CD soils have group C characteristics (slow infiltration rates) when artificially drained and have group D characteristics (very slow infiltration rates) when not drained.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
34,CAT_HGVAR,"Percentage of Hydrologic Group VAR soil. -9999 denotes NODATA, usually water. Hydrologic group VAR soils have variable drainage characteristics.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
35,CAT_HGA,"Percentage of Hydrologic Group A soil. -9999 denotes NODATA, usually water. Hydrologic group A soils have high infiltration rates. Soils are deep and well drained and, typically, have high sand and gravel content.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
36,CAT_HGAD,"Percentage of Hydrologic Group AD soil. -9999 denotes NODATA, usually water. Hydrologic group AD soils have group A characteristics (high infiltration rates) when artificially drained and have group D characteristics (very slow infiltration rates) when not drained.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
37,CAT_HGB,"Percentage of Hydrologic Group B soil. -9999 denotes NODATA, usually water. Hydrologic group B soils have moderate infiltration rates. Soils are moderately deep, moderately well drained, and moderately coarse in texture.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
38,CAT_HGAC,"Percentage of Hydrologic Group AC soil. -9999 denotes NODATA, usually water. Hydrologic group AC soils have group A characteristics (high infiltration rates) when artificially drained and have group C characteristics (slow infiltration rates) when not drained.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
39,CAT_HGBD,"Percentage of Hydrologic Group BD soil. -9999 denotes NODATA, usually water. Hydrologic group BD soils have group B characteristics (moderate infiltration rates) when artificially drained and have group D characteristics (very slow infiltration rates) when not drained.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
40,CAT_HGBC,"Percentage of Hydrologic Group BC soil. -9999 denotes NODATA, usually water. Hydrologic group BC soils have group B characteristics (moderate infiltration rates) when artificially drained and have group C characteristics (slow infiltration rates) when not drained.",percent,"Percentage of soils found in an NHDPlus version 2 catchment that contains Hydrologic Group VAR soil. -9999 denotes NODATA,  usually water. Hydrologic group VAR soils have variable drainage characteristics.",https://www.sciencebase.gov/catalog/item/5728d93be4b0b13d3918a99f,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
41,CAT_SANDAVE,Average percent of sand in soil per NHDPlus version 2 catchment. -9999 denotes NODATA usually water.,unknown,Average percent of silt in soil per NHDPlus version 2 catchment. -9999 denotes NODATA usually water.,https://www.sciencebase.gov/catalog/item/5728dd46e4b0b13d3918a9a7,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
42,CAT_SRL25AG,Estimated percent presence of the soil restrictive layer in the upper 25 centimeters of agricultural land,percent,"Estimated percent presence of the soil restrictive layer in the upper 55, centimeters of agricultural land per NHDPlus version 2 catchment. -9999 denotes NODATA or there is no soil restrictive layer at this depth for this catchment.",https://www.sciencebase.gov/catalog/item/572900afe4b0b13d3918aa64,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
43,CAT_SRL35AG,Estimated percent presence of the soil restrictive layer in the upper 35 centimeters of agricultural land,percent,"Estimated percent presence of the soil restrictive layer in the upper 55, centimeters of agricultural land per NHDPlus version 2 catchment. -9999 denotes NODATA or there is no soil restrictive layer at this depth for this catchment.",https://www.sciencebase.gov/catalog/item/572900afe4b0b13d3918aa64,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
44,CAT_POPDENS90,"Population density, persons per square kilometer per NHDPlus version 2 catchment",persons per square kilometer,"Population density, persons per square kilometer per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/5728f609e4b0b13d3918aa0e,Population,unknown,localCatch_name
45,CAT_POPDENS10,"Population density, persons per square kilometer per NHDPlus version 2 catchment",persons per square kilometer,"Population density, persons per square kilometer per NHDPlus version 2 catchment",https://www.sciencebase.gov/catalog/item/5728f746e4b0b13d3918aa1e,Population,unknown,localCatch_name
46,CAT_SRL45AG,Estimated percent presence of the soil restrictive layer in the upper 45 centimeters of agricultural land,percent,"Estimated percent presence of the soil restrictive layer in the upper 55, centimeters of agricultural land per NHDPlus version 2 catchment. -9999 denotes NODATA or there is no soil restrictive layer at this depth for this catchment.",https://www.sciencebase.gov/catalog/item/572900afe4b0b13d3918aa64,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
47,CAT_SRL55AG,Estimated percent presence of the soil restrictive layer in the upper 55 centimeters of agricultural land,percent,"Estimated percent presence of the soil restrictive layer in the upper 55, centimeters of agricultural land per NHDPlus version 2 catchment. -9999 denotes NODATA or there is no soil restrictive layer at this depth for this catchment.",https://www.sciencebase.gov/catalog/item/572900afe4b0b13d3918aa64,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
48,CAT_MINP6190,Watershed minimum average annual precipitation in mm,mm/year,30 year average (1961-1990) of minimum monthly precipitation in mm per NHDPlus version 2 catchment. -9999 denotes catchment is outside of the source data extent.,https://www.sciencebase.gov/catalog/item/572a23c4e4b0b13d391a0142,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
49,CAT_WDANN,NHDPlusV2 catchment value for the 30 year annual average (1961-1990) number of days of measurable precipitation. -9999 denotes NODATA or source data does not cover catchment.,days,NHDPlusV2 catchment value for the 30 year annual average (1961-1990) number of days of measurable precipitation. -9999 denotes NODATA or source data does not cover catchment.,https://www.sciencebase.gov/catalog/item/573b5497e4b0dae0d5e3ada1,Climate,https://www.sciencebase.gov/catalog/item/566ef828e4b09cfe53ca76f7,localCatch_name
50,CAT_SALINAVE,Mean salinity per NHDPlus version 2 catchment,milliohms per centimeter (mohms/cm).,Mean salinity per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/573b5ba4e4b0dae0d5e3adc2,Soils,https://www.sciencebase.gov/catalog/item/568d6554e4b0e7a44bc207f7,localCatch_name
51,CAT_MIRAD_2012,"Percent of watershed in irrigated agriculture, from USGS 2012 250-m MODIS data",percent,Percent of all land that?s irrigated agriculture in 2012 per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/573b78aee4b0dae0d5e3aeb7,Hydrologic Modifications,unknown,localCatch_name
52,CAT_MIRAD_2002,"Percent of watershed in irrigated agriculture, from USGS 2002 250-m MODIS data",percent,Percent of all land that?s irrigated agriculture in 2002 per NHDPlus version 2 catchment,https://www.sciencebase.gov/catalog/item/573b77afe4b0dae0d5e3aea6,Hydrologic Modifications,unknown,localCatch_name
53,CAT_NLCD01_52,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
54,CAT_NLCD01_71,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
55,CAT_NLCD01_81,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
56,CAT_NLCD01_82,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
57,CAT_NLCD01_90,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
58,CAT_NLCD01_95,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
59,CAT_NLCD01_11,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
60,CAT_NLCD01_12,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
61,CAT_NLCD01_21,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
62,CAT_NLCD01_22,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
63,CAT_NLCD01_23,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
64,CAT_NLCD01_24,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
65,CAT_NLCD01_31,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
66,CAT_NLCD01_41,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
67,CAT_NLCD01_42,unknown,unknown,2011 land-use and land-cover type Emergent Herbaceous Wetlands: Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is periodically saturated with or covered with water. -9999 denotes NODATA.,https://www.sciencebase.gov/catalog/item/5761b67de4b04f417c2d30ae,Land Cover,unknown,localCatch_name
68,CAT_BEDPERM_1,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is not a prinicpal aquifer,percent,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is Carbonate rock,https://www.sciencebase.gov/catalog/item/57867c33e4b0e02680c14fff,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
69,CAT_BEDPERM_2,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is sandstone,percent,Percent of NHDPlus version 2 flowline catchment whose bedrock permeability class is Carbonate rock,https://www.sciencebase.gov/catalog/item/57867c33e4b0e02680c14fff,Geology,https://www.sciencebase.gov/catalog/item/5703c816e4b0328dcb82295a,localCatch_name
